cm,mean_csr,std_csr
no_drone,0.877845,0.042623
static_drone,0.917111,0.007259
CM1,0.917111,0.007259
CM2,0.915024,0.005945
CM3,0.915711,0.008461
CM4,0.917111,0.007259
CM5,0.921313,0.006563
CM6,0.917111,0.007259
CM7,0.917111,0.007259
