time,csr
-1229.9384685818654,0.9345665961945031
-1169.670772728973,0.8906445932048624
-1109.6572737771878,0.8418705492905526
-1049.625012398879,0.8331948555035613
-989.5428547629006,0.8253390774547049
-929.520780493852,0.8218138471445291
-869.4591329772259,0.8129982065901872
-809.1761309303918,0.8119032436198835
-749.1593528316241,0.804043772030226
-689.0811296098288,0.8042639994948078
-629.067447120949,0.7989362324746568
-569.0344506095149,0.7908790816792601
-508.93960729795003,0.7921003298689127
-448.9340730014919,0.790716002592149
-388.82723476281365,0.7905655364591817
-328.7034293999377,0.7962620079430889
-268.66585841066615,0.8058602557297847
-208.6462441694498,0.803917170201544
-148.55314644811847,0.8081376428266375
-88.31365687759649,0.7963041334617157
-28.160854212747836,0.7925567454773885
31.909300419296414,0.7720323973103659
91.9397768074441,0.7757604120571773
151.9600413129083,0.7843763710809422
212.0017562558478,0.8007936767721724
272.01342730224565,0.8080029739414416
332.0134273022593,0.8374129198072044
392.01342730227293,0.8370735468316353
452.0134273022866,0.8391579910287634
512.0134273023002,0.8421190637415259
572.0134273023139,0.8406500105794857
632.0134273023275,0.8323394530192253
692.0134273023411,0.8382343035535472
752.0134273023548,0.837193881793969
812.0134273023682,0.8361529755465313
872.0134273023818,0.8350365817828165
932.0134273023955,0.8394153982879379
992.0134273024091,0.8342687110635882
1052.0134273024228,0.8324202415291623
1112.0134273024364,0.8327013737401903
1172.01342730245,0.8347246469039221
1232.0134273024637,0.8309546376257453
1292.0134273024773,0.8292716847309151
1352.013427302491,0.8250306951943893
1412.0134273025046,0.8216046428683854
1472.0134273025183,0.8180116888865772
1532.013427302532,0.8176250206499933
1592.0134273025456,0.8167673032615697
1652.0134273025592,0.8225709063062425
1712.0134273025728,0.8281419960955645
1772.0134273025865,0.8268658291306331
1832.0134273026001,0.8261105139323832
1892.0134273026138,0.8264986795134353
1952.0134273026274,0.8228371926462608
2012.013427302641,0.8186668242342228
2072.0134273026547,0.8174947744314505
2132.0134273026683,0.8175872513645066
2192.013427302682,0.8159964678634957
2252.0134273026956,0.8184859221454792
2312.0134273027093,0.8138690214714099
