time,csr
-1229.1386166507823,0.7465277777777778
-1167.4479475615817,0.8481281905842315
-1107.0901686337509,0.8602437117098669
-1046.669694054009,0.8738138090975262
-986.595196205803,0.8870794814386826
-926.1919762416958,0.8910041025271418
-866.1701195030831,0.8984927953451165
-805.5009158097084,0.9062447894773714
-745.3070255219794,0.906551770378308
-685.2376624684966,0.9021393137578433
-623.678773288636,0.9082446747411795
-563.0813484217591,0.9121137569106996
-502.68049359356473,0.9112681942245962
-442.46866410617963,0.8980546750631364
-382.4092175472663,0.9032399207152496
-322.33438948567607,0.8922694981284853
-262.1300819143762,0.8932623552818114
-201.75377902761556,0.8999814085168563
-140.08792219341763,0.9162802846803186
-79.68368232452258,0.909221759301394
-19.39142077696215,0.9039258512544803
40.67250450562483,0.885286199505958
100.84385434372939,0.8686757874933446
160.9837339216558,0.8563648376476392
220.98373392166945,0.8614995749543598
280.9837339216831,0.8728416227133234
340.98373392169674,0.892921862262157
400.9837339217104,0.8928938509527781
460.983733921724,0.889642620151671
520.9837339217377,0.882369652086905
580.9837339217513,0.8764767618162856
640.983733921765,0.8739170592119441
700.9837339217786,0.8873759020778008
760.983733921792,0.8956024448000566
820.9837339218057,0.8983441013329143
880.9837339218193,0.9028183945147055
940.9837339218329,0.9004129405939945
1000.9837339218466,0.8904444654275405
1060.9837339218602,0.8867574457929945
1120.9837339218739,0.877050156997176
1180.9837339218875,0.8699024741287797
1240.9837339219011,0.8703734100420385
1300.9837339219148,0.8746458029425664
1360.9837339219284,0.8796958488123149
1420.983733921942,0.8954661235685839
1480.9837339219557,0.8991242837915403
1540.9837339219694,0.9069798297951575
1600.983733921983,0.9103119157938395
1660.9837339219966,0.909206900013048
1720.9837339220103,0.903238433020144
1780.983733922024,0.9005556058593908
1840.9837339220376,0.882374277695979
1900.9837339220512,0.8810699925806559
1960.9837339220649,0.8809616585416516
2020.9837339220785,0.8860628404661071
2080.983733922092,0.8911170895011199
2140.983733922106,0.8933167779406177
2200.9837339221194,0.8910789887697935
2260.983733922133,0.891130355996522
2320.9837339221467,0.8790535181074022
