cm,mean_csr,std_csr
no_drone,0.875044,0.039942
static_drone,0.918512,0.006453
CM1,0.918512,0.006453
CM2,0.919451,0.005238
CM3,0.917111,0.007259
CM4,0.918512,0.006453
CM5,0.921313,0.006563
CM6,0.918512,0.006453
CM7,0.918512,0.006453
