alpha,energy_csr,legacy_csr,steps_energy,steps_legacy,steps_saved
0.01,0.8514173998044966,0.8238532110091743,566,747,181
0.5644444444444445,0.8054003724394786,0.8238532110091743,129,747,618
1.118888888888889,0.8054003724394786,0.8238532110091743,43,747,704
1.6733333333333336,0.8054003724394786,0.8238532110091743,19,747,728
2.227777777777778,0.8054003724394786,0.8238532110091743,15,747,732
2.7822222222222224,0.8054003724394786,0.8238532110091743,7,747,740
3.336666666666667,0.8054003724394786,0.8238532110091743,3,747,744
3.8911111111111114,0.8054003724394786,0.8238532110091743,3,747,744
4.445555555555556,0.8054003724394786,0.8238532110091743,3,747,744
5.0,0.8054003724394786,0.8238532110091743,3,747,744
