lambda,mean_csr,std_csr
0.5,0.9361765617235184,0.030254472143168808
0.8461538461538461,0.9135908946024373,0.020722856387758302
1.1923076923076923,0.9105861543450666,0.02740139632401571
1.5384615384615383,0.8988300590241639,0.02316143469902083
1.8846153846153846,0.8827713206279864,0.00795623328809015
2.230769230769231,0.8771459716811074,0.009094907595687866
2.5769230769230766,0.8652975830919815,0.019572894617324955
2.923076923076923,0.8231849609127883,0.01056214777889076
3.269230769230769,0.8188834453892119,0.012148843859872624
3.6153846153846154,0.8039619846104648,0.009506463314765692
3.9615384615384617,0.8090689018011308,0.01599636465680377
4.3076923076923075,0.7849040280006772,0.007012617363687589
4.653846153846153,0.7748536780265913,0.02215697124008405
5.0,0.7554276477710339,0.01757548114061904
