alpha,energy_csr,legacy_csr,steps_energy,steps_legacy,steps_saved
0.01,0.8026905829596412,0.8366247755834829,552,747,195
0.5644444444444445,0.8091743119266055,0.8366247755834829,208,747,539
1.118888888888889,0.8298076923076924,0.8366247755834829,93,747,654
1.6733333333333336,0.8121739130434783,0.8366247755834829,59,747,688
2.227777777777778,0.7987421383647799,0.8366247755834829,49,747,698
2.7822222222222224,0.8051146384479718,0.8366247755834829,32,747,715
3.336666666666667,0.8271375464684015,0.8366247755834829,13,747,734
3.8911111111111114,0.8271375464684015,0.8366247755834829,13,747,734
4.445555555555556,0.8271375464684015,0.8366247755834829,13,747,734
5.0,0.8271375464684015,0.8366247755834829,7,747,740
