alpha,energy_csr,legacy_csr,steps_energy,steps_legacy,steps_saved
0.01,0.8859649122807017,0.8640776699029126,311,748,437
0.5644444444444445,0.8859649122807017,0.8640776699029126,250,748,498
1.118888888888889,0.8859649122807017,0.8640776699029126,213,748,535
1.6733333333333336,0.8859649122807017,0.8640776699029126,170,748,578
2.227777777777778,0.8859649122807017,0.8640776699029126,134,748,614
2.7822222222222224,0.8859649122807017,0.8640776699029126,100,748,648
3.336666666666667,0.8859649122807017,0.8640776699029126,80,748,668
3.8911111111111114,0.8859649122807017,0.8640776699029126,64,748,684
4.445555555555556,0.8859649122807017,0.8640776699029126,52,748,696
5.0,0.8859649122807017,0.8640776699029126,33,748,715
