cm,mean_csr,std_csr
no_drone,0.852085,0.021229
static_drone,0.868135,0.021053
CM1,0.868609,0.022702
CM2,0.873378,0.017428
CM3,0.867680,0.017353
CM4,0.869099,0.019357
CM5,0.869129,0.010600
CM6,0.866247,0.020357
CM7,0.866704,0.021151
