cm,mean_csr,std_csr
no_drone,0.671846,0.025773
static_drone,0.684689,0.037354
CM1,0.684689,0.037354
CM2,0.684662,0.037289
CM3,0.684662,0.037289
CM4,0.685526,0.037947
CM5,0.685094,0.037614
CM6,0.684257,0.037022
CM7,0.685094,0.037614
